Date,Open,High,Low,Close,Volume,Adj_Close
7/8/15,124.48,124.64,122.54,122.57,60761614,120.8458905
7/7/15,125.89,126.15,123.77,125.69,46946811,123.9220036
7/6/15,124.94,126.23,124.85,126,28060431,124.227643
7/2/15,126.43,126.69,125.77,126.44,27210952,124.6614538
7/1/15,126.9,126.94,125.99,126.6,30238811,124.8192032
6/30/15,125.57,126.12,124.86,125.425,44370682,123.6607311
6/29/15,125.46,126.47,124.48,124.53,49161427,122.7783205
6/26/15,127.67,127.99,126.51,126.75,44066841,124.9670933
6/25/15,128.86,129.2,127.5,127.5,31938100,125.7065435
6/24/15,127.21,129.8,127.12,128.11,55280855,126.307963
6/23/15,127.48,127.61,126.8792,127.03,30268863,125.2431547
6/22/15,127.49,128.06,127.08,127.61,34039345,125.8149962
6/19/15,127.71,127.82,126.4,126.6,54716887,124.8192032
6/18/15,127.23,128.31,127.22,127.88,35407220,126.0811983
6/17/15,127.72,127.88,126.74,127.3,32918071,125.5093568
6/16/15,127.03,127.85,126.37,127.6,31494131,125.8051369
6/15/15,126.1,127.24,125.71,126.92,43988946,125.134702
6/12/15,128.185,128.33,127.11,127.17,36886246,125.3811854
6/11/15,129.18,130.18,128.475,128.59,35390887,126.7812112
6/10/15,127.92,129.34,127.85,128.88,39087250,127.067132
6/9/15,126.7,128.08,125.62,127.42,56075420,125.6276688
6/8/15,128.9,129.21,126.83,127.8,52674786,126.0023236
6/5/15,129.5,129.69,128.36,128.65,35626800,126.8403672
6/4/15,129.58,130.58,128.91,129.36,38450118,127.5403801
6/3/15,130.66,130.94,129.9,130.12,30983542,128.2896897
6/2/15,129.86,130.655,129.32,129.96,33667627,128.1319403
6/1/15,131.2,131.39,130.05,130.535,32112797,128.6988522
5/29/15,131.23,131.45,129.9,130.28,50884452,128.4474391
5/28/15,131.86,131.95,131.1,131.78,30733309,129.9263396
5/27/15,130.34,132.26,130.05,132.045,45833246,130.1876121
5/26/15,132.6,132.91,129.12,129.62,70697560,127.7967229
5/22/15,131.6,132.97,131.4,132.54,45595972,130.6756492
5/21/15,130.07,131.63,129.83,131.39,39730364,129.5418255
5/20/15,130,130.98,129.34,130.06,36454932,128.2305337
5/19/15,130.69,130.88,129.64,130.07,44633240,128.2403931
5/18/15,128.38,130.72,128.36,130.19,50882918,128.3587051
5/15/15,129.07,129.49,128.21,128.77,38208034,126.9586793
5/14/15,127.41,128.95,127.16,128.95,45203456,127.1361473
5/13/15,126.15,127.19,125.87,126.01,34694235,124.2375023
5/12/15,125.6,126.88,124.82,125.865,48160032,124.0945419
5/11/15,127.39,127.56,125.625,126.32,42035757,124.5431418
5/8/15,126.68,127.62,126.11,127.62,55550382,125.8248555
5/7/15,124.77,126.08,124.02,125.26,43940895,123.4980521
5/6/15,126.56,126.75,123.36,125.01,72141010,122.7420217
5/5/15,128.15,128.4498,125.78,125.8,49271416,123.5176892
5/4/15,129.5,130.57,128.26,128.7,50988278,126.3650763
5/1/15,126.1,130.13,125.3,128.95,58512638,126.6105407
4/30/15,127.5,127.88,124.58,125.15,83195423,122.8794818
4/29/15,130.16,131.59,128.3,128.64,63386083,126.3061649
4/28/15,134.455,134.54,129.57,130.56,118923970,128.1913315
4/27/15,132.31,133.13,131.15,132.65,96954207,130.243414
4/24/15,130.49,130.63,129.23,130.28,44525905,127.9164114
4/23/15,128.3,130.42,128.14,129.67,45770902,127.3174782
4/22/15,126.99,128.87,126.32,128.62,37654505,126.2865277
4/21/15,128.1,128.2,126.67,126.91,32435057,124.6075512
4/20/15,125.57,128.12,125.17,127.6,47054310,125.285033
4/17/15,125.55,126.14,124.46,124.75,51957046,122.4867387
4/16/15,126.28,127.1,126.11,126.17,28368987,123.8809765
4/15/15,126.41,127.13,126.01,126.78,28970419,124.4799097
4/14/15,127,127.29,125.91,126.3,25524593,124.008618
4/13/15,128.37,128.57,126.61,126.85,36365123,124.5486397
4/10/15,125.95,127.21,125.26,127.1,40187953,124.7941041
4/9/15,125.85,126.58,124.66,126.56,32483974,124.263901
4/8/15,125.85,126.4,124.97,125.6,37329243,123.3213177
4/7/15,127.64,128.1218,125.98,126.01,35012268,123.7238793
4/6/15,124.47,127.51,124.33,127.35,37193975,125.0395685
4/2/15,125.03,125.56,124.19,125.32,32220131,123.0463976
4/1/15,124.82,125.12,123.1,124.25,40621437,121.9958099
3/31/15,126.09,126.49,124.355,124.43,42090553,122.1725443
3/30/15,124.05,126.4,124,126.37,47099670,124.0773481
3/27/15,124.57,124.7,122.91,123.25,39546151,121.0139523
3/26/15,122.76,124.88,122.6,124.24,47572869,121.9859913
3/25/15,126.54,126.82,123.38,123.38,51655177,121.1415938
3/24/15,127.23,128.04,126.56,126.69,32842304,124.3915425
3/23/15,127.12,127.85,126.52,127.21,37709674,124.9021085
3/20/15,128.25,128.4,125.16,125.9,68695136,123.615875
3/19/15,128.75,129.2451,127.4,127.495,45809490,125.1819379
3/18/15,127,129.16,126.37,128.47,65270945,126.1392491
3/17/15,125.9,127.32,125.65,127.04,51023104,124.7351927
3/16/15,123.88,124.95,122.87,124.95,35874300,122.6831102
3/13/15,124.4,125.3951,122.58,123.59,51827283,121.3477839
3/12/15,122.31,124.9,121.63,124.45,48362719,122.1921814
3/11/15,124.75,124.77,122.11,122.24,68938974,120.0222761
3/10/15,126.41,127.22,123.8,124.51,68856582,122.2510929
3/9/15,127.96,129.57,125.06,127.14,88528487,124.8333784
3/6/15,128.4,129.37,126.26,126.6,72842060,124.3031753
3/5/15,128.58,128.75,125.76,126.41,56517146,124.1166224
3/4/15,129.1,129.56,128.32,128.54,31666340,126.2079791
3/3/15,128.96,129.52,128.09,129.36,37816283,127.0131024
3/2/15,129.25,130.28,128.3,129.09,48096663,126.7480008
2/27/15,130,130.57,128.24,128.46,62014847,126.1294305
2/26/15,128.785,130.87,126.61,130.415,91287529,128.0489622
2/25/15,131.56,131.6,128.15,128.79,74711746,126.4534435
2/24/15,132.94,133.6,131.17,132.17,69228130,129.7721223
2/23/15,130.02,133,129.66,133,70974110,130.5870641
2/20/15,128.62,129.5,128.05,129.495,48948419,127.1456532
2/19/15,128.48,129.03,128.33,128.45,37362381,126.1196119
2/18/15,127.625,128.78,127.45,128.715,44891737,126.3798042
2/17/15,127.49,128.88,126.92,127.83,63152405,125.5108602
2/13/15,127.28,127.28,125.65,127.08,54272219,124.774467
2/12/15,126.06,127.48,125.57,126.46,74474466,124.1657153
2/11/15,122.77,124.92,122.5,124.88,73561797,122.6143802
2/10/15,120.17,122.15,120.16,122.02,62008506,119.8062674
2/9/15,118.55,119.84,118.43,119.72,38889797,117.5479949
2/6/15,120.02,120.25,118.45,118.93,43706567,116.7723273
